Spot,Title,Address,checkSituation
400609,メ～テレ 本社南側,愛知県名古屋市中区橘２丁目１０−１,2
400610,ラシック 5F 久屋大通側吹き抜け,愛知名古屋市中区栄3-6-1,2
400611,名古屋栄三越 3F カスタマーステーション横,愛知県名古屋市中区栄3-5-1,2
400615,中日ビル 7階屋上広場,愛知県名古屋市中区栄4-1-1,2
400618,中部電力 MIRAI TOWER 1階エントランス,名古屋市中区錦３丁目６-１５先,2
400621,セントラルパーク ロッテリア前円柱ポスターパネル,愛知県名古屋市中区錦３丁目１５−１３先,2
400624,豊田合成リンク受付テント付近,,2
400628,Hisaya Central Vision,愛知県名古屋市中区錦３丁目１６ー１０,2
400809,大名古屋ビル Shops & Restaurants,愛知県名古屋市中村区名駅三丁目28番12号,2
401340,阪急三番街 北館B1Fニトリ デコホーム前,,2
401341,Hidden Bonbony（位於 Herbis Plaza）,,2
401343,ディアモール大阪 ファッショナブルストリートの中央,,2
401345,グランフロント大阪北館6F ウメキタフロア ギャラリースペース,,2
401346,グランフロント大阪北館5F HMV,,2
401347,NU茶屋町 6F 『TOWER RECORDS』店内,,2
401348,NU茶屋町プラス2F 『WOCCA ROCCA』前,,2
402697,矢場とん【共通スタンプ※対象店舗7店】,,2
402720,NTTドコモ：ドコモショップ／d garden【共通スタンプ※対象店舗3店】,愛知県名古屋市中区栄3-4-6 サカエチカ 大同特殊鋼 Ｐｈｅｎｉｘスクエア前B1階　※マップのピンはd garden名古屋栄店,2
403127,Sunshine City 専門店街アルパ3F 広小路(北側),東京都豊島区東池袋３丁目１,2
403306,かくれボンボンイ(イオンモール Nagoya Noritake Garden内),イオンモール Nagoya Noritake Gardenのどこか,2
403313,京セラドーム大阪,,0
403314,東京ドーム,,1
403315,バンテリンドーム ナゴヤ,,2
403316,みずほPayPayドーム福岡,,0
403317,かくれボンボンイ(麻布十番商店街内),,1
403415,マリオンクレープ 原宿竹下通り店,,2
403843,キッチンカー [AICHI],,2
403844,Panel Capsule Machine [AICHI],,2
403845,鳥貴族 名駅３丁目店,愛知県名古屋市中村区名駅3-14-6 COLLECT MARK 名駅3丁目 4階,2
403849,鳥貴族 名駅広小路店,愛知県名古屋市中村区名駅四丁目26番12号 DK名駅笹島ﾋﾞﾙ4階,2
403851,鳥貴族 名駅西口店,愛知県名古屋市中村区椿町3番19号 ｳｲﾝｸﾞﾋﾞﾙ8階,2
403853,鳥貴族 名駅東口店,愛知県名古屋市中村区名駅4丁目16-33 ﾊﾟｼﾌｨｯｸｽｸｴｱ名駅ﾋﾞﾙ4階,2
403855,鳥貴族 大曾根店,愛知県名古屋市北区山田一丁目4-19 末廣ﾋﾞﾙ1階,2
403863,東京ドームシティ アトラクションズ,,1
403865,麻布十番商店街1,,1
403866,キッチンカー [TOKYO],,0
403868,Panel Capsule Machine [TOKYO],,1
403872,鳥貴族 渋谷文化村通り店,東京都渋谷区宇田川町34-5 ｻｲﾄｰﾋﾞﾙⅢ2階,2
403876,鳥貴族 渋谷神南店,東京都渋谷区神南1丁目19-3 渋谷神南ﾊｲﾏﾝﾃﾝ地下1階,2
403878,鳥貴族 渋谷公園通り店,東京都渋谷区神南1丁目22-10 皆川ﾋﾞﾙ6階,2
403880,鳥貴族 渋谷宇田川町店,東京都渋谷区宇田川町32番12号 ｱｿﾙﾃｨ渋谷5階,2
403881,鳥貴族 池袋サンシャイン通り店,東京都豊島区東池袋1-20-6 ﾌﾟﾗｻﾞｲﾝ池袋ﾋﾞﾙ3階,2
403883,鳥貴族 池袋東口店,東京都豊島区南池袋1-23-6 KDG池袋ﾋﾞﾙ11階,2
403885,鳥貴族 池袋北口店,東京都豊島区西池袋1-24-4 いわたﾋﾞﾙ3階,2
403886,鳥貴族 池袋南口店,東京都豊島区南池袋1-17-2 南池袋I-Nﾋﾞﾙ4階,2
403887,鳥貴族 池袋メトロポリタン口店,東京都豊島区西池袋1-10-8 ｻﾝ･ｸﾞﾛｳﾋﾞﾙ3階,2
403888,鳥貴族 池袋グリーン大通り店,東京都豊島区南池袋1-26-2 THE KINDAI 3 IKEBUKURO 4階,2
403890,鳥貴族 池袋ロマンス通り店,東京都豊島区西池袋1丁目38番地1号 池袋YSﾋﾞﾙ6階,2
403891,鳥貴族 南池袋公園前店,東京都豊島区南池袋2-26-10 ｱｸﾃｨｵｰﾚ南池袋5階,2
403897,SEVENTEEN EXHIBITION 'FOLLOW FELLOW' IN JAPAN,神奈川県横浜市西区高島2-14-9,2
403901,キッチンカー [OSAKA],,0
403904,鳥貴族 道頓堀店,,2
403905,鳥貴族 お初天神店,,2
403906,鳥貴族 南船場店,,2
403907,鳥貴族 堺筋本町店,,2
403908,鳥貴族 北浜店,,2
403909,鳥貴族 新大阪店,,2
403913,鳥貴族 梅田DDハウス店,,2
403914,鳥貴族 心斎橋店,,2
403916,鳥貴族 心斎橋ヨーロッパ通り店,,2
403918,鳥貴族 本町店,,2
404062,ハービスPLAZA ENT5F エレベーター前,,2
404173,麻布十番商店街②,,1
