Spot,Title,Address
401340,阪急三番街 北館B1Fニトリ デコホーム前,大阪府大阪市北区芝田１丁目１−１３
401341,Hidden Bonbony（位於 Herbis Plaza）,ハービスPLAZAのどこか
401343,ディアモール大阪 ファッショナブルストリートの中央,大阪市北区梅田一丁目　大阪駅前ダイヤモンド地下街1号
401345,グランフロント大阪北館6F ウメキタフロア ギャラリースペース,
401346,グランフロント大阪北館5F HMV,大阪府大阪市北区大深町３番1号　グランフロント大阪　北館
401347,NU茶屋町 6F 『TOWER RECORDS』店内,大阪府大阪市北区茶屋町１０−１２
401348,NU茶屋町プラス2F 『WOCCA ROCCA』前,大阪府大阪市北区茶屋町８−２６
403904,鳥貴族 道頓堀店,大阪府大阪市中央区道頓堀1-6-15 ﾄﾞｳﾄﾝﾋﾞﾙ3階
403905,鳥貴族 お初天神店,大阪府大阪市北区曽根崎2-5-20 お初天神ﾋﾞﾙ地下1階
403906,鳥貴族 南船場店,大阪府大阪市中央区南船場3-12-3 心斎橋ｾﾝﾄﾋﾞﾙ4階
403907,鳥貴族 堺筋本町店,大阪府大阪市中央区南本町2-3-8 KDX南本町ﾋﾞﾙ地下1階
403908,鳥貴族 北浜店,大阪府大阪市中央区伏見町2-1-1 三井住友銀行高麗橋ﾋﾞﾙ地下1階
403909,鳥貴族 新大阪店,大阪府大阪市淀川区宮原三丁目3番16号 ｱｸﾛｽｷｭｰﾌﾞ新大阪2階
403913,鳥貴族 梅田DDハウス店,大阪府大阪市北区芝田一丁目8番1号 北野阪急ﾋﾞﾙ(D.D.HOUSE)2階
403914,鳥貴族 心斎橋店,大阪府大阪市中央区心斎橋筋1丁目4番29号 ﾌｪﾘﾁﾀ心斎橋4階
403916,鳥貴族 心斎橋ヨーロッパ通り店,大阪府大阪市中央区東心斎橋2丁目8-26 FUKUBLD.心斎橋4階A号
403918,鳥貴族 本町店,大阪府大阪市中央区備後町3-3-15 ﾆｭｰ備後町ﾋﾞﾙ 地下1階
404062,ハービスPLAZA ENT5F エレベーター前,大阪府大阪市北区梅田2丁目5－25
